Date,Clicks,Impressions,CTR,Position
2025-06-07,2,75,2.67%,13.7
2025-06-08,1,64,1.56%,16.7
2025-06-09,2,110,1.82%,12.3
2025-06-10,1,119,0.84%,9.5
2025-06-11,2,139,1.44%,8.8
2025-06-12,3,155,1.94%,8.4
2025-06-13,1,493,0.2%,4
2025-06-14,0,302,0%,3.8
2025-06-15,0,165,0%,6.7
2025-06-16,4,81,4.94%,11.5
2025-06-17,1,157,0.64%,7.5
2025-06-18,1,89,1.12%,7.1
2025-06-19,1,97,1.03%,10.5
2025-06-20,1,80,1.25%,11.8
2025-06-21,2,53,3.77%,14.5
2025-06-22,0,111,0%,7.8
2025-06-23,0,200,0%,7.2
2025-06-24,6,171,3.51%,8.3
2025-06-25,2,149,1.34%,10.8
2025-06-26,3,117,2.56%,15.7
2025-06-27,2,120,1.67%,11.4
2025-06-28,0,71,0%,14.4
2025-06-29,0,67,0%,20.8
2025-06-30,2,83,2.41%,16
2025-07-01,0,67,0%,17.3
2025-07-02,0,120,0%,15.9
2025-07-03,2,190,1.05%,8.9
2025-07-04,1,70,1.43%,25.1
2025-07-05,1,53,1.89%,19.4
2025-07-06,0,43,0%,21.9
2025-07-07,1,94,1.06%,15.7
2025-07-08,1,1699,0.06%,4.9
2025-07-09,1,81,1.23%,14.6
2025-07-10,1,105,0.95%,20
2025-07-11,1,99,1.01%,22.9
2025-07-12,1,75,1.33%,15.9
2025-07-13,0,204,0%,9.2
2025-07-14,0,112,0%,16.8
2025-07-15,0,136,0%,15.8
2025-07-16,1,148,0.68%,11.9
2025-07-17,0,96,0%,12.3
2025-07-18,2,117,1.71%,12.7
2025-07-19,0,91,0%,17.7
2025-07-20,0,244,0%,10.4
2025-07-21,0,168,0%,12.4
2025-07-22,0,120,0%,14.7
2025-07-23,1,123,0.81%,12.8
2025-07-24,1,116,0.86%,12.1
2025-07-25,0,160,0%,13.8
2025-07-26,0,102,0%,19.9
2025-07-27,0,99,0%,23.3
2025-07-28,0,175,0%,13.4
2025-07-29,1,208,0.48%,9.5
2025-07-30,0,144,0%,13.9
2025-07-31,0,147,0%,13.9
2025-08-01,1,175,0.57%,12.8
2025-08-02,1,88,1.14%,19.3
2025-08-03,2,106,1.89%,17.4
2025-08-04,0,142,0%,13.7
2025-08-05,2,155,1.29%,14.5
2025-08-06,4,175,2.29%,13
2025-08-07,2,151,1.32%,12.4
2025-08-08,3,111,2.7%,14.5
2025-08-09,0,95,0%,16.7
2025-08-10,0,85,0%,18.6
2025-08-11,0,113,0%,12.1
2025-08-12,1,122,0.82%,14.4
2025-08-13,2,103,1.94%,12.1
2025-08-14,1,143,0.7%,12.4
2025-08-15,0,862,0%,3.4
2025-08-16,0,751,0%,3.6
2025-08-17,3,86,3.49%,16.9
2025-08-18,0,131,0%,10.9
2025-08-19,0,166,0%,8.6
2025-08-20,0,158,0%,10.2
2025-08-21,0,121,0%,9.5
2025-08-22,1,94,1.06%,13.1
2025-08-23,1,76,1.32%,20.8
2025-08-24,0,92,0%,13.5
2025-08-25,0,141,0%,9.9
2025-08-26,0,257,0%,9.9
2025-08-27,1,164,0.61%,14
2025-08-28,1,165,0.61%,10.6
2025-08-29,1,115,0.87%,12
2025-08-30,0,101,0%,19.9
2025-08-31,1,132,0.76%,16.3
2025-09-01,0,132,0%,16.8
2025-09-02,1,202,0.5%,11.9
2025-09-03,0,163,0%,17.2
2025-09-04,1,153,0.65%,11
2025-09-05,1,134,0.75%,15
2025-09-06,1,68,1.47%,18.4
2025-09-07,2,100,2%,14.1
2025-09-08,1,142,0.7%,11.5
2025-09-09,1,127,0.79%,9.2
2025-09-10,0,164,0%,11.4
2025-09-11,1,163,0.61%,9.5
2025-09-12,0,133,0%,7.3
2025-09-13,0,68,0%,11.2
2025-09-14,0,62,0%,10.5
2025-09-15,1,141,0.71%,8.5
2025-09-16,1,133,0.75%,8
2025-09-17,1,163,0.61%,8.2
2025-09-18,2,114,1.75%,7.3
2025-09-19,4,106,3.77%,7.5
2025-09-20,0,107,0%,30.4
2025-09-21,0,81,0%,12.1
2025-09-22,2,152,1.32%,8.4
2025-09-23,6,113,5.31%,6.4
2025-09-24,1,136,0.74%,7
2025-09-25,0,114,0%,8.8
2025-09-26,1,86,1.16%,9.2
2025-09-27,1,590,0.17%,2.9
2025-09-28,0,75,0%,7.6
2025-09-29,3,1118,0.27%,2.7
2025-09-30,0,914,0%,2.1
2025-10-01,0,105,0%,8.2
2025-10-02,0,102,0%,7.1
2025-10-03,1,77,1.3%,9.2
2025-10-04,0,62,0%,10.4
2025-10-05,0,65,0%,7.4
2025-10-06,2,134,1.49%,7.5
2025-10-07,2,126,1.59%,8.1
2025-10-08,1,99,1.01%,6.3
2025-10-09,0,122,0%,6.4
2025-10-10,0,102,0%,11.1
2025-10-11,0,628,0%,3
2025-10-12,1,65,1.54%,7.6
2025-10-13,0,78,0%,7.7
2025-10-14,1,877,0.11%,2.6
2025-10-15,1,681,0.15%,2.9
2025-10-16,0,101,0%,8.8
2025-10-17,0,84,0%,6
2025-10-18,0,73,0%,7.1
2025-10-19,0,57,0%,9.3
2025-10-20,0,83,0%,6.9
2025-10-21,1,106,0.94%,6.1
2025-10-22,0,144,0%,7.7
2025-10-23,0,130,0%,8.7
2025-10-24,0,76,0%,8.3
2025-10-25,1,45,2.22%,7.2
2025-10-26,1,73,1.37%,7.5
2025-10-27,1,151,0.66%,7.3
2025-10-28,2,152,1.32%,7.1
2025-10-29,1,217,0.46%,5.2
2025-10-30,7,99,7.07%,5.8
2025-10-31,1,82,1.22%,7.1
2025-11-01,2,51,3.92%,9.5
2025-11-02,0,82,0%,7
2025-11-03,1,146,0.68%,6.3
2025-11-04,2,123,1.63%,7.1
2025-11-05,0,138,0%,5.8
2025-11-06,1,488,0.2%,4.3
2025-11-07,0,111,0%,7.4
2025-11-08,0,101,0%,7.8
2025-11-09,0,185,0%,5
2025-11-10,3,116,2.59%,6.2
2025-11-11,0,107,0%,6.6
2025-11-12,1,118,0.85%,5.8
2025-11-13,0,126,0%,6.8
2025-11-14,0,93,0%,6.4
2025-11-15,1,56,1.79%,7.1
2025-11-16,2,58,3.45%,6.1
2025-11-17,0,111,0%,7.9
2025-11-18,1,129,0.78%,7
2025-11-19,0,112,0%,8.3
2025-11-20,0,118,0%,6.4
2025-11-21,2,93,2.15%,7.2
2025-11-22,0,59,0%,10.5
2025-11-23,0,304,0%,5
2025-11-24,2,94,2.13%,10.4
2025-11-25,0,75,0%,11.3
2025-11-26,0,70,0%,8.1
2025-11-27,0,72,0%,7.8
2025-11-28,1,54,1.85%,9.6
2025-11-29,1,48,2.08%,10.6
2025-11-30,0,58,0%,6.8
2025-12-01,1,93,1.08%,11.9
2025-12-02,0,106,0%,8.4
2025-12-03,1,157,0.64%,7.7
2025-12-04,1,335,0.3%,5.7
2025-12-05,0,107,0%,7.1
2025-12-06,0,69,0%,7.9
2025-12-07,0,73,0%,8.7
2025-12-08,2,110,1.82%,11
2025-12-09,2,135,1.48%,8.5
2025-12-10,3,98,3.06%,9.3
2025-12-11,1,116,0.86%,7
2025-12-12,1,78,1.28%,8.4
2025-12-13,0,46,0%,11.2
2025-12-14,0,49,0%,12.2
2025-12-15,0,94,0%,8.5
2025-12-16,0,140,0%,9.2
2025-12-17,1,90,1.11%,9.4
2025-12-18,1,77,1.3%,7.6
2025-12-19,2,55,3.64%,6.1
2025-12-20,1,39,2.56%,14.6
2025-12-21,0,47,0%,12.1
2025-12-22,0,79,0%,12.6
2025-12-23,0,64,0%,12.2
2025-12-24,0,38,0%,11.8
2025-12-25,1,30,3.33%,13
2025-12-26,0,115,0%,6.3
2025-12-27,0,28,0%,23.1
2025-12-28,0,43,0%,16.5
2025-12-29,0,108,0%,8.6
2025-12-30,0,123,0%,7.2
2025-12-31,0,76,0%,14.1
2026-01-01,0,52,0%,8.9
2026-01-02,1,60,1.67%,7.8
2026-01-03,0,41,0%,11.7
2026-01-04,0,55,0%,11
2026-01-05,3,110,2.73%,11.1
2026-01-06,0,105,0%,9.7
2026-01-07,1,174,0.57%,8.1
2026-01-08,1,84,1.19%,12.2
2026-01-09,0,112,0%,8.4
2026-01-10,0,75,0%,12.1
2026-01-11,0,87,0%,7.1
2026-01-12,1,120,0.83%,10.6
2026-01-13,1,158,0.63%,7.8
2026-01-14,1,149,0.67%,7.6
2026-01-15,0,137,0%,7.9
2026-01-16,1,104,0.96%,8.8
2026-01-17,0,63,0%,13.7
2026-01-18,1,148,0.68%,8.7
2026-01-19,1,161,0.62%,10.9
2026-01-20,0,110,0%,10.1
2026-01-21,3,154,1.95%,8.9
2026-01-22,0,147,0%,8.7
2026-01-23,0,147,0%,11.9
2026-01-24,0,80,0%,11.9
2026-01-25,1,179,0.56%,7.1
2026-01-26,0,135,0%,11.2
2026-01-27,1,115,0.87%,11.3
2026-01-28,0,287,0%,9.2
2026-01-29,0,189,0%,21.2
2026-01-30,1,138,0.72%,10.2
2026-01-31,0,86,0%,13.9
2026-02-01,1,231,0.43%,9.7
2026-02-02,1,194,0.52%,9.1
2026-02-03,1,257,0.39%,7.5
2026-02-04,3,243,1.23%,7.3
2026-02-05,1,130,0.77%,10.7
2026-02-06,1,88,1.14%,7.2
2026-02-07,0,100,0%,8.9
2026-02-08,0,258,0%,6.2
2026-02-09,0,183,0%,8.5
2026-02-10,1,281,0.36%,8
2026-02-11,0,174,0%,8.1
2026-02-12,4,125,3.2%,10.5
2026-02-13,0,108,0%,8.8
2026-02-14,0,62,0%,10.5
2026-02-15,4,74,5.41%,8
2026-02-16,2,101,1.98%,7.1
2026-02-17,2,106,1.89%,10
2026-02-18,0,122,0%,9
2026-02-19,1,219,0.46%,6.3
2026-02-20,1,129,0.78%,6
2026-02-21,0,98,0%,11.6
2026-02-22,2,137,1.46%,7.2
2026-02-23,1,180,0.56%,7.1
2026-02-24,1,128,0.78%,7.3
2026-02-25,1,150,0.67%,7.1
2026-02-26,1,134,0.75%,7.6
2026-02-27,0,121,0%,7.8
2026-02-28,0,92,0%,6.2
2026-03-01,1,136,0.74%,6.7
2026-03-02,2,200,1%,6.7
2026-03-03,2,351,0.57%,6.5
2026-03-04,2,155,1.29%,8
2026-03-05,2,172,1.16%,6.5
2026-03-06,0,151,0%,7.6
2026-03-07,1,100,1%,8.3
2026-03-08,0,153,0%,7.1
2026-03-09,1,168,0.6%,7.8
2026-03-10,0,128,0%,7.6
2026-03-11,2,125,1.6%,7.3
2026-03-12,0,265,0%,5
2026-03-13,2,241,0.83%,5.8
2026-03-14,0,55,0%,6.9
2026-03-15,2,99,2.02%,8
2026-03-16,2,214,0.93%,7.2
2026-03-17,0,175,0%,7.3
2026-03-18,0,103,0%,6
2026-03-19,2,115,1.74%,7.6
2026-03-20,0,100,0%,7.6
2026-03-21,1,259,0.39%,5.7
2026-03-22,2,183,1.09%,6.1
2026-03-23,0,225,0%,7.7
2026-03-24,0,138,0%,9.3
2026-03-25,2,170,1.18%,6.9
2026-03-26,0,147,0%,6.4
2026-03-27,0,138,0%,7.8
2026-03-28,0,99,0%,7.3
2026-03-29,0,79,0%,7.7
2026-03-30,1,159,0.63%,6.8
2026-03-31,1,120,0.83%,7.1
2026-04-01,1,251,0.4%,4.9
2026-04-02,0,122,0%,8.4
2026-04-03,0,84,0%,7.8
2026-04-04,0,64,0%,7
2026-04-05,0,78,0%,8.1
2026-04-06,0,151,0%,6.6
2026-04-07,0,108,0%,7.2
2026-04-08,0,108,0%,6.4
2026-04-09,1,122,0.82%,8.5
2026-04-10,0,114,0%,6.5
2026-04-11,1,93,1.08%,7.3
2026-04-12,0,87,0%,7.5
2026-04-13,0,190,0%,8.3
2026-04-14,0,119,0%,8.4
2026-04-15,3,199,1.51%,7.1
